UE ID: UE1, Service Type: data, Throughput: 1.01MB, Interval: 0.93s, Delay: 0ms, Jitter: 0.1%, Packet Loss Rate: 0.1%
UE ID: UE2, Service Type: IoT, Throughput: 0.00MB, Interval: 19.40s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE3, Service Type: voice, Throughput: 0.00MB, Interval: 0.02s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE4, Service Type: video, Throughput: 2.06MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE5, Service Type: data, Throughput: 0.82MB, Interval: 0.75s, Delay: 0ms, Jitter: 0.1%, Packet Loss Rate: 0.1%
UE ID: UE6, Service Type: video, Throughput: 2.06MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE7, Service Type: video, Throughput: 2.42MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE8, Service Type: video, Throughput: 3.46MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE9, Service Type: video, Throughput: 3.28MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE10, Service Type: video, Throughput: 1.85MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE1, Service Type: data, Throughput: 1.13MB, Interval: 1.51s, Delay: 0ms, Jitter: 0.1%, Packet Loss Rate: 0.1%
UE ID: UE2, Service Type: IoT, Throughput: 0.00MB, Interval: 45.98s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE3, Service Type: voice, Throughput: 0.00MB, Interval: 0.02s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE4, Service Type: video, Throughput: 2.59MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE5, Service Type: data, Throughput: 0.37MB, Interval: 1.36s, Delay: 0ms, Jitter: 0.1%, Packet Loss Rate: 0.1%
UE ID: UE6, Service Type: video, Throughput: 2.70MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE7, Service Type: video, Throughput: 2.13MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE8, Service Type: video, Throughput: 1.07MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE9, Service Type: video, Throughput: 1.42MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE10, Service Type: video, Throughput: 1.66MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE1, Service Type: data, Throughput: 0.81MB, Interval: 0.79s, Delay: 0ms, Jitter: 0.1%, Packet Loss Rate: 0.1%
UE ID: UE2, Service Type: IoT, Throughput: 0.00MB, Interval: 37.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE3, Service Type: voice, Throughput: 0.00MB, Interval: 0.02s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE4, Service Type: video, Throughput: 0.81MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE5, Service Type: data, Throughput: 0.69MB, Interval: 0.95s, Delay: 0ms, Jitter: 0.1%, Packet Loss Rate: 0.1%
UE ID: UE6, Service Type: video, Throughput: 0.88MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE7, Service Type: video, Throughput: 0.82MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE8, Service Type: video, Throughput: 2.97MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE9, Service Type: video, Throughput: 3.05MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE10, Service Type: video, Throughput: 1.65MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE1, Service Type: data, Throughput: 1.10MB, Interval: 1.04s, Delay: 0ms, Jitter: 0.1%, Packet Loss Rate: 0.1%
UE ID: UE2, Service Type: IoT, Throughput: 0.00MB, Interval: 58.32s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE3, Service Type: voice, Throughput: 0.00MB, Interval: 0.02s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE4, Service Type: video, Throughput: 0.41MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE5, Service Type: data, Throughput: 0.71MB, Interval: 0.59s, Delay: 0ms, Jitter: 0.1%, Packet Loss Rate: 0.1%
UE ID: UE6, Service Type: video, Throughput: 3.12MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE7, Service Type: video, Throughput: 2.10MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE8, Service Type: video, Throughput: 2.24MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE9, Service Type: video, Throughput: 3.24MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE10, Service Type: video, Throughput: 2.82MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE1, Service Type: data, Throughput: 0.27MB, Interval: 1.35s, Delay: 0ms, Jitter: 0.1%, Packet Loss Rate: 0.1%
UE ID: UE2, Service Type: IoT, Throughput: 0.00MB, Interval: 13.45s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE3, Service Type: voice, Throughput: 0.00MB, Interval: 0.02s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE4, Service Type: video, Throughput: 3.32MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE5, Service Type: data, Throughput: 0.20MB, Interval: 1.65s, Delay: 0ms, Jitter: 0.1%, Packet Loss Rate: 0.1%
UE ID: UE6, Service Type: video, Throughput: 1.45MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE7, Service Type: video, Throughput: 3.19MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE8, Service Type: video, Throughput: 0.92MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE9, Service Type: video, Throughput: 1.42MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE10, Service Type: video, Throughput: 2.81MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE1, Service Type: data, Throughput: 0.21MB, Interval: 0.71s, Delay: 0ms, Jitter: 0.1%, Packet Loss Rate: 0.1%
UE ID: UE2, Service Type: IoT, Throughput: 0.00MB, Interval: 57.41s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE3, Service Type: voice, Throughput: 0.00MB, Interval: 0.02s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE4, Service Type: video, Throughput: 3.46MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE5, Service Type: data, Throughput: 1.15MB, Interval: 0.82s, Delay: 0ms, Jitter: 0.1%, Packet Loss Rate: 0.1%
UE ID: UE6, Service Type: video, Throughput: 3.75MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE7, Service Type: video, Throughput: 2.72MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE8, Service Type: video, Throughput: 3.66MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE9, Service Type: video, Throughput: 3.24MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE10, Service Type: video, Throughput: 1.32MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE1, Service Type: data, Throughput: 0.58MB, Interval: 1.10s, Delay: 0ms, Jitter: 0.1%, Packet Loss Rate: 0.1%
UE ID: UE2, Service Type: IoT, Throughput: 0.00MB, Interval: 14.48s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE3, Service Type: voice, Throughput: 0.00MB, Interval: 0.02s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE4, Service Type: video, Throughput: 3.50MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE5, Service Type: data, Throughput: 1.20MB, Interval: 0.59s, Delay: 0ms, Jitter: 0.1%, Packet Loss Rate: 0.1%
UE ID: UE6, Service Type: video, Throughput: 2.54MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE7, Service Type: video, Throughput: 1.89MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE8, Service Type: video, Throughput: 3.51MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE9, Service Type: video, Throughput: 1.24MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE10, Service Type: video, Throughput: 0.53MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE1, Service Type: data, Throughput: 1.11MB, Interval: 1.66s, Delay: 0ms, Jitter: 0.1%, Packet Loss Rate: 0.1%
UE ID: UE2, Service Type: IoT, Throughput: 0.00MB, Interval: 31.59s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE3, Service Type: voice, Throughput: 0.00MB, Interval: 0.02s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE4, Service Type: video, Throughput: 1.90MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE5, Service Type: data, Throughput: 0.69MB, Interval: 1.39s, Delay: 0ms, Jitter: 0.1%, Packet Loss Rate: 0.1%
UE ID: UE6, Service Type: video, Throughput: 2.70MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE7, Service Type: video, Throughput: 0.55MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE8, Service Type: video, Throughput: 3.87MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE9, Service Type: video, Throughput: 1.57MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE10, Service Type: video, Throughput: 0.82MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE1, Service Type: data, Throughput: 0.17MB, Interval: 1.86s, Delay: 0ms, Jitter: 0.1%, Packet Loss Rate: 0.1%
UE ID: UE2, Service Type: IoT, Throughput: 0.00MB, Interval: 51.61s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE3, Service Type: voice, Throughput: 0.00MB, Interval: 0.02s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE4, Service Type: video, Throughput: 0.96MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE5, Service Type: data, Throughput: 1.14MB, Interval: 1.23s, Delay: 0ms, Jitter: 0.1%, Packet Loss Rate: 0.1%
UE ID: UE6, Service Type: video, Throughput: 2.17MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE7, Service Type: video, Throughput: 0.99MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE8, Service Type: video, Throughput: 1.28MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE9, Service Type: video, Throughput: 2.88MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE10, Service Type: video, Throughput: 2.23MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE1, Service Type: data, Throughput: 0.14MB, Interval: 1.33s, Delay: 0ms, Jitter: 0.1%, Packet Loss Rate: 0.1%
UE ID: UE2, Service Type: IoT, Throughput: 0.00MB, Interval: 54.92s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE3, Service Type: voice, Throughput: 0.00MB, Interval: 0.02s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE4, Service Type: video, Throughput: 1.77MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE5, Service Type: data, Throughput: 0.39MB, Interval: 1.91s, Delay: 0ms, Jitter: 0.1%, Packet Loss Rate: 0.1%
UE ID: UE6, Service Type: video, Throughput: 3.28MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE7, Service Type: video, Throughput: 3.13MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE8, Service Type: video, Throughput: 0.97MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE9, Service Type: video, Throughput: 2.57MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE10, Service Type: video, Throughput: 2.14MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE1, Service Type: data, Throughput: 0.61MB, Interval: 0.68s, Delay: 0ms, Jitter: 0.1%, Packet Loss Rate: 0.1%
UE ID: UE2, Service Type: IoT, Throughput: 0.00MB, Interval: 32.28s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE3, Service Type: voice, Throughput: 0.00MB, Interval: 0.02s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE4, Service Type: video, Throughput: 2.12MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE5, Service Type: data, Throughput: 0.58MB, Interval: 1.94s, Delay: 0ms, Jitter: 0.1%, Packet Loss Rate: 0.1%
UE ID: UE6, Service Type: video, Throughput: 1.58MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE7, Service Type: video, Throughput: 0.45MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE8, Service Type: video, Throughput: 0.88MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE9, Service Type: video, Throughput: 1.64MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE10, Service Type: video, Throughput: 0.52MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE1, Service Type: data, Throughput: 0.00MB, Interval: 1.08s, Delay: 0ms, Jitter: 0.1%, Packet Loss Rate: 0.1%
UE ID: UE2, Service Type: IoT, Throughput: 0.00MB, Interval: 15.20s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE3, Service Type: voice, Throughput: 0.00MB, Interval: 0.02s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE4, Service Type: video, Throughput: 0.96MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE5, Service Type: data, Throughput: 0.55MB, Interval: 1.37s, Delay: 0ms, Jitter: 0.1%, Packet Loss Rate: 0.1%
UE ID: UE6, Service Type: video, Throughput: 2.26MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE7, Service Type: video, Throughput: 1.80MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE8, Service Type: video, Throughput: 3.17MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE9, Service Type: video, Throughput: 2.20MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE10, Service Type: video, Throughput: 3.45MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE1, Service Type: data, Throughput: 0.25MB, Interval: 0.63s, Delay: 0ms, Jitter: 0.1%, Packet Loss Rate: 0.1%
UE ID: UE2, Service Type: IoT, Throughput: 0.00MB, Interval: 14.23s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE3, Service Type: voice, Throughput: 0.00MB, Interval: 0.02s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE4, Service Type: video, Throughput: 1.80MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE5, Service Type: data, Throughput: 0.79MB, Interval: 0.79s, Delay: 0ms, Jitter: 0.1%, Packet Loss Rate: 0.1%
UE ID: UE6, Service Type: video, Throughput: 3.26MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE7, Service Type: video, Throughput: 2.90MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE8, Service Type: video, Throughput: 3.05MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE9, Service Type: video, Throughput: 0.44MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE10, Service Type: video, Throughput: 0.45MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE1, Service Type: data, Throughput: 0.15MB, Interval: 1.47s, Delay: 0ms, Jitter: 0.1%, Packet Loss Rate: 0.1%
UE ID: UE2, Service Type: IoT, Throughput: 0.00MB, Interval: 42.35s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE3, Service Type: voice, Throughput: 0.00MB, Interval: 0.02s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE4, Service Type: video, Throughput: 2.63MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE5, Service Type: data, Throughput: 1.07MB, Interval: 1.53s, Delay: 0ms, Jitter: 0.1%, Packet Loss Rate: 0.1%
UE ID: UE6, Service Type: video, Throughput: 3.11MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE7, Service Type: video, Throughput: 2.69MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE8, Service Type: video, Throughput: 0.42MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE9, Service Type: video, Throughput: 2.22MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE10, Service Type: video, Throughput: 2.04MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE1, Service Type: data, Throughput: 0.41MB, Interval: 0.66s, Delay: 0ms, Jitter: 0.1%, Packet Loss Rate: 0.1%
UE ID: UE2, Service Type: IoT, Throughput: 0.00MB, Interval: 34.20s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE3, Service Type: voice, Throughput: 0.00MB, Interval: 0.02s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE4, Service Type: video, Throughput: 3.57MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE5, Service Type: data, Throughput: 0.46MB, Interval: 1.32s, Delay: 0ms, Jitter: 0.1%, Packet Loss Rate: 0.1%
UE ID: UE6, Service Type: video, Throughput: 3.17MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE7, Service Type: video, Throughput: 1.80MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE8, Service Type: video, Throughput: 2.08MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE9, Service Type: video, Throughput: 2.23MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE10, Service Type: video, Throughput: 1.14MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE1, Service Type: data, Throughput: 1.11MB, Interval: 1.26s, Delay: 0ms, Jitter: 0.1%, Packet Loss Rate: 0.1%
UE ID: UE2, Service Type: IoT, Throughput: 0.00MB, Interval: 31.26s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE3, Service Type: voice, Throughput: 0.00MB, Interval: 0.02s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE4, Service Type: video, Throughput: 1.29MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE5, Service Type: data, Throughput: 0.30MB, Interval: 0.87s, Delay: 0ms, Jitter: 0.1%, Packet Loss Rate: 0.1%
UE ID: UE6, Service Type: video, Throughput: 2.04MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE7, Service Type: video, Throughput: 3.28MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE8, Service Type: video, Throughput: 0.99MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE9, Service Type: video, Throughput: 2.08MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE10, Service Type: video, Throughput: 2.37MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE1, Service Type: video, Throughput: 2.70MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE2, Service Type: game, Throughput: 0.00MB, Interval: 0.10s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE3, Service Type: voice, Throughput: 0.00MB, Interval: 0.02s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE4, Service Type: IoT, Throughput: 0.00MB, Interval: 50.59s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE5, Service Type: game, Throughput: 0.01MB, Interval: 0.10s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE6, Service Type: IoT, Throughput: 0.00MB, Interval: 17.85s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE7, Service Type: game, Throughput: 0.00MB, Interval: 0.10s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE8, Service Type: video, Throughput: 2.32MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE9, Service Type: video, Throughput: 3.76MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE10, Service Type: IoT, Throughput: 0.00MB, Interval: 59.05s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE1, Service Type: video, Throughput: 1.31MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE2, Service Type: game, Throughput: 0.01MB, Interval: 0.10s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE3, Service Type: voice, Throughput: 0.00MB, Interval: 0.02s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE4, Service Type: IoT, Throughput: 0.00MB, Interval: 56.35s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE5, Service Type: game, Throughput: 0.00MB, Interval: 0.10s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE6, Service Type: IoT, Throughput: 0.00MB, Interval: 44.06s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE7, Service Type: game, Throughput: 0.01MB, Interval: 0.10s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE8, Service Type: video, Throughput: 0.48MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE9, Service Type: video, Throughput: 3.37MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE10, Service Type: IoT, Throughput: 0.00MB, Interval: 53.77s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE1, Service Type: video, Throughput: 2.87MB, Interval: 1.00s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE2, Service Type: game, Throughput: 0.01MB, Interval: 0.10s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE3, Service Type: voice, Throughput: 0.00MB, Interval: 0.02s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
UE ID: UE4, Service Type: IoT, Throughput: 0.00MB, Interval: 42.05s, Delay: 0ms, Jitter: 0%, Packet Loss Rate: 0%
